unique_squirrel_id,kuks,quaas,moans
4E-PM-1008-03,False,False,False
41E-PM-1013-05,False,False,False
3H-AM-1008-05,False,False,False
41E-AM-1007-02,False,False,False
40E-AM-1014-03,False,False,False
2A-AM-1010-02,False,False,False
3A-PM-1017-03,False,False,False
30I-PM-1006-02,False,False,False
17C-PM-1013-01,False,False,False
9A-AM-1013-04,False,False,False
9E-PM-1014-02,False,False,False
41D-AM-1014-02,False,False,False
14G-AM-1012-02,False,False,False
7H-PM-1006-09,False,False,False
38D-AM-1017-03,False,False,False
22F-AM-1007-03,False,False,False
5I-AM-1010-01,False,False,False
12C-AM-1013-01,False,False,False
3E-AM-1006-02,False,False,False
3H-PM-1014-07,False,False,False
39D-AM-1008-03,False,False,False
9I-AM-1014-09,False,False,False
28D-AM-1012-04,False,False,False
10G-AM-1006-07,False,False,False
1B-AM-1012-10,False,False,False
32D-PM-1006-04,False,False,False
5I-AM-1010-02,False,False,False
32F-PM-1008-05,False,False,False
34E-PM-1006-01,False,False,False
2D-AM-1007-01,False,False,False
3E-AM-1006-01,False,False,False
5I-AM-1010-05,False,False,False
3A-PM-1017-08,False,False,False
4C-PM-1010-11,False,False,False
40E-PM-1017-02,False,False,False
38E-AM-1010-02,False,False,False
32I-AM-1013-04,False,False,False
19F-PM-1017-06,False,False,False
13E-AM-1017-11,False,False,False
14F-PM-1012-07,False,False,False
19F-AM-1007-01,False,False,False
17D-AM-1008-06,True,False,False
22F-AM-1007-04,False,False,False
37C-PM-1013-01,False,False,False
13E-PM-1008-05,False,False,False
9A-PM-1010-01,False,False,False
18C-PM-1018-08,False,False,False
26I-PM-1010-04,False,False,False
21A-AM-1019-06,False,False,False
16D-AM-1007-02,False,False,False
13G-PM-1008-03,False,False,False
15I-AM-1008-05,False,False,False
7H-PM-1006-05,False,False,False
32F-AM-1012-03,False,False,False
42H-AM-1019-01,False,False,False
8I-AM-1006-12,False,False,False
40G-PM-1013-06,False,False,False
21G-AM-1014-03,False,False,False
38D-AM-1017-05,False,False,False
2C-AM-1010-09,False,False,False
3D-PM-1010-01,False,False,False
35F-PM-1012-01,False,False,False
33B-AM-1010-06,False,False,False
35C-AM-1007-06,False,False,False
38I-PM-1014-04,False,False,False
